,Link,Name,Subtitle,Price,Sale Price
0,https://www.nike.comhttps://www.nike.com/ca/t/dunk-low-retro-shoe-mhrtZC/DD1391-100,Nike Dunk Low Retro,Men's Shoe,$150,$120.99
1,https://www.nike.comhttps://www.nike.com/ca/t/air-max-plus-3-shoes-7SKBLq/CW1417-100,Nike Air Max Plus 3,Men's Shoes,$245,$171.99
2,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-1-mid-shoes-9LKDtk/BQ6472-120,Air Jordan 1 Mid,Women's Shoes,$165,$120.99
3,https://www.nike.comhttps://www.nike.com/ca/t/dunk-low-next-nature-shoes-KBNt3Z/DD1873-102,Nike Dunk Low Next Nature,Women's Shoes,$150,$120.99
4,https://www.nike.comhttps://www.nike.com/ca/t/air-max-dn8-shoes-kfw2b1/FQ7860-009,Nike Air Max Dn8,Men's Shoes,$245,$171.99
5,https://www.nike.comhttps://www.nike.com/ca/t/air-max-portal-shoes-JTFQQt/IB7698-001,Nike Air Max Portal,Women's Shoes,$145,$120.99
6,https://www.nike.comhttps://www.nike.com/ca/t/free-metcon-6-workout-shoes-pTZrPG/FJ7127-010,Nike Free Metcon 6,Men's Workout Shoes,$160,$120.99
7,https://www.nike.comhttps://www.nike.com/ca/t/dunk-high-retro-shoe-1PhQRw/DD1399-105,Nike Dunk High Retro,Men's Shoe,$170,$120.99
8,https://www.nike.comhttps://www.nike.com/ca/t/zoom-vomero-roam-winterized-shoes-HHjWfS/FV2295-002,Nike Zoom Vomero Roam,Men's Winterized Shoes,$235,$164.99
9,https://www.nike.comhttps://www.nike.com/ca/t/blazer-mid-77-shoes-q5gmbj/CZ1055-100,Nike Blazer Mid '77,Women's Shoes,$140,$120.99
10,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-1-mid-se-older-shoes-QCTw9T/HJ5958-206,Air Jordan 1 Mid SE,Older Kids' Shoes,$140,$120.99
11,https://www.nike.comhttps://www.nike.com/ca/t/jordan-spizike-low-sneaker-school-older-shoes-lmRHXP/HJ5979-100,Jordan Spizike Low Sneaker School,Older Kids' Shoes,$155,$120.99
12,https://www.nike.comhttps://www.nike.com/ca/t/air-force-1-shadow-shoes-Xsd92z/DZ1847-112,Nike Air Force 1 Shadow,Women's Shoes,$175,$122.99
13,https://www.nike.comhttps://www.nike.com/ca/t/dunk-low-next-nature-shoes-tSZJWb/DD1873-112,Nike Dunk Low Next Nature,Women's Shoes,$150,$120.99
14,https://www.nike.comhttps://www.nike.com/ca/t/gato-shoes-KCTS6M/HQ6020-500,Nike Gato,Men's Shoes,$145,$120.99
15,https://www.nike.comhttps://www.nike.com/ca/t/shox-r4-shoes-pMCg79/AR3565-401,Nike Shox R4,Women's Shoes,$190,$133.99
16,https://www.nike.comhttps://www.nike.com/ca/t/air-max-sndr-shoes-k888Lf/HQ4189-600,Nike Air Max SNDR,Women's Shoes,$235,$164.99
17,https://www.nike.comhttps://www.nike.com/ca/t/air-force-1-07-shoes-7SDn46/IB4654-661,Nike Air Force 1 '07,Women's Shoes,$150,$120.99
18,https://www.nike.comhttps://www.nike.com/ca/t/gato-shoes-zk3fBp/IB3082-001,Nike Gato,Men's Shoes,$145,$120.99
19,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-1-mid-shoes-ntkGmF/DQ8426-100,Air Jordan 1 Mid,Men's Shoes,$165,$120.99
20,https://www.nike.comhttps://www.nike.com/ca/t/air-max-portal-shoes-QsZwFT/HF3053-014,Nike Air Max Portal,Women's Shoes,$145,$120.99
21,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-1-low-sneaker-school-older-shoes-0gZ4NM/HJ9955-100,Air Jordan 1 Low Sneaker School,Older Kids' Shoes,$135,$120.99
22,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-1-mid-se-big-shoes-rPPBgc/HJ5940-071,Air Jordan 1 Mid SE,Big Kids' Shoes,$140,$120.99
23,https://www.nike.comhttps://www.nike.com/ca/t/dunk-high-shoes-JW4zhB/DD1869-103,Nike Dunk High,Women's Shoes,$170,$120.99
24,https://www.nike.comhttps://www.nike.com/ca/t/ld-1000-shoes-GBPqsn/HF3227-400,Nike LD-1000,Women's Shoes,$135,$120.99
25,https://www.nike.comhttps://www.nike.com/ca/t/mercurial-superfly-10-academy-multi-ground-high-top-football-boot-Khvb30/FQ1456-800,Nike Mercurial Superfly 10 Academy,Multi-Ground High-Top Football Boot,$135,$120.99
26,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-4-rm-shoes-j2Wrsx/FQ7940-003,Air Jordan 4 RM,Women's Shoes,$190,$133.99
27,https://www.nike.comhttps://www.nike.com/ca/t/air-pegasus-2005-shoes-36ZlZc/HQ1675-400,Nike Air Pegasus 2005,Women's Shoes,$190,$133.99
28,https://www.nike.comhttps://www.nike.com/ca/t/air-zoom-spiridon-cage-2-shoes-Jkd53w/CJ1288-002,Nike Air Zoom Spiridon Cage 2,Men's Shoes,$225,$157.99
29,https://www.nike.comhttps://www.nike.com/ca/t/air-180-shoes-dpj4qg/FZ3058-001,Nike Air 180,Men's Shoes,$210,$147.99
30,https://www.nike.comhttps://www.nike.com/ca/t/jordan-spizike-low-older-shoes-88nR10/HQ1670-183,Jordan Spizike Low,Older Kids' Shoes,$145,$120.99
31,https://www.nike.comhttps://www.nike.com/ca/t/field-general-burgundy-suede-shoes-ZScFpt/IF1743-600,Nike Field General 'Burgundy Suede',Women's Shoes,$145,$120.99
32,https://www.nike.comhttps://www.nike.com/ca/t/air-pegasus-wave-shoes-qkT8wL/IB0612-102,Nike Air Pegasus Wave,Men's Shoes,$210,$147.99
33,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-4-rm-older-shoes-c2WmZS/IH0169-100,Air Jordan 4 RM,Older Kids' Shoes,$140,$120.99
34,https://www.nike.comhttps://www.nike.com/ca/t/versair-workout-shoes-s72Hjj/DZ3547-001,Nike Versair,Women's Workout Shoes,$180,$126.99
35,https://www.nike.comhttps://www.nike.com/ca/t/air-pegasus-2005-se-shoes-l1dG3B/IB2983-001,Nike Air Pegasus 2005 SE,Men's Shoes,$210,$147.99
36,https://www.nike.comhttps://www.nike.com/ca/t/zoom-vomero-roam-winterized-shoes-jXJ4q8/HV6410-100,Nike Zoom Vomero Roam,Women's Winterized Shoes,$235,$164.99
37,https://www.nike.comhttps://www.nike.com/ca/t/shox-r4-shoes-RS3cqj/IB7703-100,Nike Shox R4,Women's Shoes,$210,$147.99
38,https://www.nike.comhttps://www.nike.com/ca/t/air-pegasus-2005-shoes-R1rzxh/HJ5271-003,Nike Air Pegasus 2005,Women's Shoes,$210,$147.99
39,https://www.nike.comhttps://www.nike.com/ca/t/field-general-shoes-xmmTKd/IB2323-600,Nike Field General,Women's Shoes,$160,$120.99
40,https://www.nike.comhttps://www.nike.com/ca/t/field-general-shoes-lm7DCg/IB7706-001,Nike Field General,Women's Shoes,$160,$120.99
41,https://www.nike.comhttps://www.nike.com/ca/t/air-max-sndr-shoes-6dP6W8/FZ2068-700,Nike Air Max SNDR,Women's Shoes,$235,$164.99
42,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-1-low-method-of-make-shoes-NWNgmn/FN5032-100,Air Jordan 1 Low Method of Make,Women's Shoes,$175,$122.99
43,https://www.nike.comhttps://www.nike.com/ca/t/field-general-shoes-Z43KR8/IF0667-201,Nike Field General,Men's Shoes,$145,$120.99
44,https://www.nike.comhttps://www.nike.com/ca/t/air-max-1-86-og-g-golf-shoes-TdWLzw/DV1403-003,Nike Air Max 1 '86 OG G,Men's Golf Shoes,$210,$147.99
45,https://www.nike.comhttps://www.nike.com/ca/launch/r/HJ9446-001,Kobe IX Elite,Older Kids' Basketball Shoes,$165,$120.99
46,https://www.nike.comhttps://www.nike.com/ca/t/gato-shoes-cFJVmh/IB8509-001,Nike Gato,Men's Shoes,$145,$120.99
47,https://www.nike.comhttps://www.nike.com/ca/t/mercurial-vapor-16-academy-kylian-mbappe-multi-ground-low-top-football-boot-xJkpPQ/FQ8377-500,Nike Mercurial Vapor 16 Academy 'Kylian Mbappé',Multi-Ground Low-Top Football Boot,$125,$120.99
